batch_number,is_done
1234567890,
1234567891,1
1234567892,1
7vMaQQgd9e,
DZaeMBNRqP,1
4h8QGMbnPG,1
sm8mi5yb28,
YDdxDb0NbJ,
ond2MBdZm3,
w6YoZVyxWi,
ELVXEJEnu7,
MfGCucRcQk,
9gj71O5Wgq,
MfArzsoLjl,
VZ9N4MBGY5,
xj0jIXG2LG,
voP14kosfQ,
DMhMsmhGsL,
ye25qYEfjZ,
MKIovB7F2s,
XtzEtav33b,
OvBKYgD244,
5ReEshMN9y,
dfcip00sh5,
dtgeCXS6Cv,
jIqjJELRwZ,
oEWiVUldhA,
4QNCddnjtS,
gyrWWWnPoN,
IwTjKVCdQZ,
WK33OhhxaG,
LMEcnVqoPV,
nVGr9Pj2vi,
3R6bItaetg,
zcl95cEjX3,
AMHXvDDqyA,
TqaIrmJaB0,
rSKMPYYekm,
FnRZwBdNIt,
aTAvRndZ9A,
7V86k9ExkX,
dRaOoQ30PB,
W51Tge3mQy,
8AOnNdHr4X,
FqPrqUOk3J,
8OVAtQciiJ,
zhPLlxQxS4,
WYR0RCVGIy,
OPUCn1Bg4G,
tP1VnjeUHM,
9pSCJ013Em,
9hYpLcUZMR,
OvZ1fd8dJm,
GrBuG745Ew,
dQRKkhoVgi,
1cI7S9oNOy,
Qmp5pHVCki,
vlwFlslfk1,
VWjyl0tJyl,
dA2iIv5lpV,
2BcdpcLDGX,
B1hYDpDcUO,
AYUQ3ExvAD,
9PVNh74tuz,
vc6RMggHYW,
Qj6trh8HnF,
TpoixnGiFl,
8UqgQJGqly,
6dPVNeCHxQ,
9gy7x79ol8,
dL2Gj3y6GW,
GaW7pO10Xm,
kdCCJaon2o,
2yv3TtZebS,
qMG6dMYNH0,
sFLDRJimDV,
g1KjuoUff5,
zjke79j5uI,
upL2byDUpt,
TLLDrbLZpV,
6w6tA7HXDx,
gLZmjsNA8m,
O2ZvX7pmXU,
QKF0Z74lh4,
zawuCo9ANu,
uk8N3PagLW,
wv0Gmo8s1k,
TRiyzRwmT1,
AhNqspn46O,
XtUFeSO0aN,
oWoqqzmAbE,
tJmvGEIUYu,
pW4Msip0fY,
uno8L1gD6g,
rU4FW4L6iI,
v5vSUGsOBR,
5Cikn0vyvR,
EWlMpDleYO,
h5cPmoS0Ky,
b9TP6QhbG6,
fSXY6MvfSb,
QELYeP7oiA,
n7282DhcCC,
EixxYw1rqL,
YPkufsZbeJ,
OtJR10coiD,
Dvd6O7PmaI,
gpZNv3o1DS,
BzK0SxF6QA,
35VskZngeV,
RHfPpE6guF,
0I1N1qBKGH,
VbJc4EkFlW,
